url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash
https://www.midianews.com.br/politica/mendes-assina-com-albert-einstein-para-gerir-hospital-em-mt/492448,,MidiaNews | Mendes assina com Albert Einstein para gerir hospital em MT,20250421T191500Z,https://www.midianews.com.br/storage/webdisco/2025/04/16/1200x900/70e466630337256fbfcdb1d52cc06955.jpg,midianews.com.br,Portuguese,Brazil,RECRUITMENT,Recruitment and hiring,Portuguese,a55b262f176fc76e0320e0fb99833b60
https://www.nairaland.com/8405140/ncos-debunks-fake-reports-bomb,,"Ncos Debunks Fake Reports On Bomb Explosion , Kidnap Suspect - Politics",20250421T174500Z,,nairaland.com,English,Nigeria,KIDNAP,Kidnapping and abduction,English,411b653ec54e669c67e2481bb793e8d5
https://www.salisburyjournal.co.uk/news/25111055.boy-charged-reported-rape-girl-fordingbridge/,,Boy charged over reported rape of girl in Fordingbridge,20250423T191500Z,https://www.salisburyjournal.co.uk/resources/images/18994517.jpg?type=og-image,salisburyjournal.co.uk,English,United Kingdom,KIDNAP,Kidnapping and abduction,English,fb5ba6e649c491d7c2738406bf0ca67c
https://www.yahoo.com/news/third-boy-13-charged-raping-192555256.html,,"Third boy , 13 , charged with raping girl",20250423T210000Z,https://media.zenfs.com/en/bbc_us_articles_995/a3900f3e889c7d2ba2dd273c72e73c98,yahoo.com,English,United States,KIDNAP,Kidnapping and abduction,English,2411862bee83d32adfe43dcfc2703785
https://www.bournemouthecho.co.uk/news/25111106.three-boys-charged-raping-girl-fordingbridge/,,Three boys charged with raping girl in Fordingbridge,20250423T173000Z,https://www.bournemouthecho.co.uk/resources/images/19367080.jpg?type=og-image,bournemouthecho.co.uk,English,United Kingdom,KIDNAP,Kidnapping and abduction,English,6885af197d86b3deef910faf461c1b5b
https://tribuneonlineng.com/seven-occupants-of-two-private-vehicles-abducted-in-kwara/,https://tribuneonlineng.com/seven-occupants-of-two-private-vehicles-abducted-in-kwara/amp/,Seven occupants of two private vehicles abducted in Kwara,20250427T013000Z,https://tribuneonlineng.com/wp-content/uploads/2025/04/Kwara-map.webp,tribuneonlineng.com,English,Nigeria,KIDNAP,Kidnapping and abduction,English,ad1a5c8d5191a1f9bf0ab6762b22a686
https://pidgin.informationng.com/,,Why Catholic priests don become top targets for kidnappers ? ,20250425T191500Z,https://pidgin.informationng.com/wp-content/uploads/2025/04/pidgin-7-768x432-1.png,pidgin.informationng.com,English,Nigeria,KIDNAP,Kidnapping and abduction,English,20387f7dfb88bc850dbb8fc3c51fab87
https://www.jpost.com/middle-east/iran-news/article-851620,https://m.jpost.com/middle-east/iran-news/article-851620,Iranian film of Benjamin Netanyahu kidnapping resurges online,20250426T213000Z,"https://images.jpost.com/image/upload/f_auto,fl_lossy/c_fill,g_faces:center,h_407,w_690/660601",jpost.com,English,Israel,KIDNAP,Kidnapping and abduction,English,23a5c2208468dd6395b4b8f9522c107c
https://www.tvguide.co.uk/schedule/95e1d2eb-0218-5117-af23-0f664b6eb906/z-cars,,Z Cars - Talking Pictures TV,20250423T133000Z,https://tv.assets.pressassociation.io/c1683393-3526-5259-8e72-2cbdfc09078c.jpg,tvguide.co.uk,English,United Kingdom,KIDNAP,Kidnapping and abduction,English,7d18dcd94df73f670dd5b05ce6ce1fe7
https://www.dailyrecord.co.uk/entertainment/holly-willoughby-wont-retraumatised-sick-35127022,https://www.dailyrecord.co.uk/entertainment/holly-willoughby-wont-retraumatised-sick-35127022.amp,Holly Willoughby wont be  retraumatised  by sick kidnap and murder plot as new details emerge,20250427T141500Z,https://i2-prod.dailyrecord.co.uk/article35127088.ece/ALTERNATES/s1200/0_holly-willoughby-red-carpet.jpg,dailyrecord.co.uk,English,United Kingdom,KIDNAP,Kidnapping and abduction,English,ac6c2f9ea5e138a6fa649100f60e69d9
